src_ip,src_port,dst_ip,dst_port,protocol,ip_version,bidirectional_first_seen_ms,bidirectional_last_seen_ms,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,application_name,application_category_name,ts,uid,service,conn_state,missed_bytes,history,version,cipher,curve,server_name,resumed,established,cert_chain_fuids,subject,issuer,server_certificate.version,server_certificate.serial,server_certificate.subject,server_certificate.issuer,server_certificate.not_valid_before,server_certificate.not_valid_after,server_certificate.key_alg,server_certificate.sig_alg,server_certificate.key_type,server_certificate.key_length,server_certificate.exponent,server_basic_constraints.ca,timestamp
192.168.56.105,55940,192.168.56.107,443,6,4,1634455827655,1634455838298,1634455827655,1634455838298,10643,1634455827655,1634455838297,10642,TLS,Web,1634455827.655687,Co68V24IasgT8AueEc,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FcBcUR1ADydWrU2kl2,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455827
192.168.56.105,55970,192.168.56.107,443,6,4,1634455833282,1634455838451,1634455833282,1634455838449,5167,1634455833282,1634455838451,5169,TLS,Web,1634455833.282284,CuN8yU1vAUiEZAXWWb,ssl,SF,0,ShADadfF,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FbxXJZ1JX7B9wKbLNa,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455833
192.168.56.105,55974,192.168.56.107,443,6,4,1634455838449,1634455843972,1634455838449,1634455843972,5523,1634455838452,1634455843971,5519,TLS,Web,1634455838.449431,C7NoxR1krjS8EAKMI6,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FcgY8Z2vrky7Kgyoe4,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455838
192.168.56.105,56064,192.168.56.107,443,6,4,1634455869125,1634455874156,1634455869125,1634455874156,5031,1634455869125,1634455874155,5030,TLS,Web,1634455869.125648,CHsej7lhwX4gESvi8,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FIS8BS3B6WfepPF8cl,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56070,192.168.56.107,443,6,4,1634455869133,1634455874164,1634455869133,1634455874164,5031,1634455869133,1634455874161,5028,TLS,Web,1634455869.133632,CfJyAb2ZgvMlUhZed4,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FjkqfS3KBVZ2Lnokxl,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56076,192.168.56.107,443,6,4,1634455869146,1634455874183,1634455869146,1634455874183,5037,1634455869146,1634455874183,5037,TLS,Web,1634455869.146588,CLvJP82AsWy2450Ws2,ssl,RSTR,0,ShADadfRr,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FDG4ct2VxyJUNEeNt6,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56196,192.168.56.107,443,6,4,1634455930396,1634455930405,1634455930396,1634455930405,9,1634455930396,1634455930405,9,TLS,Web,1634455930.396505,Cm7mBe4cvjaiQgdfRk,ssl,SF,0,ShADadfF,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FQloZE3CdXVQ4e5Zxe,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455930
192.168.56.105,56208,192.168.56.107,443,6,4,1634455930944,1634455942086,1634455930944,1634455942086,11142,1634455930944,1634455942084,11140,TLS,Web,1634455930.944546,CjmkQo4DEYc215Uppg,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,F9yGnpXRealbO3I13,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455930
192.168.56.105,56214,192.168.56.107,443,6,4,1634455931408,1634455945332,1634455931408,1634455945332,13924,1634455931408,1634455945330,13922,TLS,Web,1634455931.408408,CwLAM21RWLAEZeDTJk,ssl,RSTO,0,ShADadTfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FTpGKs3YvWc1l1nVr5,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455931
192.168.56.105,56286,192.168.56.107,443,6,4,1634455946697,1634455952485,1634455946697,1634455952485,5788,1634455946697,1634455952481,5784,TLS,Web,1634455946.69707,CnodEB4OMtzDfWk111,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FZYmKV1LkvRjYfXD5a,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455946
192.168.56.105,56292,192.168.56.107,443,6,4,1634455953234,1634455971033,1634455953234,1634455971033,17799,1634455953234,1634455971032,17798,TLS,Web,1634455953.234174,CADuKM3ntjWg9FqsTh,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FZcizX21sPjBD2Gct8,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455953
192.168.56.105,56068,192.168.56.107,443,6,4,1634455869131,1634455874161,1634455869131,1634455874161,5030,1634455869131,1634455874156,5025,TLS,Web,1634455869.131796,Ct1Pnq1KqawNyMSu71,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FrN6JB3CgeuZTFfTg3,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56074,192.168.56.107,443,6,4,1634455869146,1634455874199,1634455869146,1634455874199,5053,1634455869146,1634455874197,5051,TLS,Web,1634455869.146038,Cyk2Jp3MJe9AfNu7f9,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FZqEGy3b2qpNYsXJXe,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56080,192.168.56.107,443,6,4,1634455869160,1634455874192,1634455869160,1634455874192,5032,1634455869160,1634455874188,5028,TLS,Web,1634455869.160049,CzbEsn3oeyu50m3Eg,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,Fy07uUfRTfUAmqB5a,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56176,192.168.56.107,443,6,4,1634455912167,1634455926738,1634455912167,1634455926738,14571,1634455912167,1634455926738,14571,TLS,Web,1634455912.167361,CVfsse1QEQBQ4xHAte,ssl,SF,0,ShADadfF,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FSqlQU2fNVYCJeXQqf,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455912
192.168.56.105,56248,192.168.56.107,443,6,4,1634455937103,1634455942333,1634455937103,1634455942333,5230,1634455937103,1634455942331,5228,TLS,Web,1634455937.103477,CMPhPjhjFqs5T8Ugj,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FYtZI43RoUvECjBDw3,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455937
192.168.56.105,56290,192.168.56.107,443,6,4,1634455950526,1634455958326,1634455950526,1634455958326,7800,1634455950526,1634455958320,7794,TLS,Web,1634455950.526868,CmcXzz2BW6JNiJaWi5,ssl,RSTO,0,ShADadR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FI01qz4CUiCawWmeh1,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455950
192.168.56.105,56066,192.168.56.107,443,6,4,1634455869127,1634455874164,1634455869127,1634455874164,5037,1634455869127,1634455874161,5034,TLS,Web,1634455869.127187,CJBlotqqhd1YckN4a,ssl,RSTO,0,ShDAadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,F4S3cC2xWGjgeP4CKd,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56072,192.168.56.107,443,6,4,1634455869139,1634455874171,1634455869139,1634455874171,5032,1634455869139,1634455874169,5030,TLS,Web,1634455869.13972,Cl28Ab34hrQaDkegvd,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FyWvk830f7wv0GggN4,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56078,192.168.56.107,443,6,4,1634455869151,1634455874183,1634455869151,1634455874183,5032,1634455869151,1634455874183,5032,TLS,Web,1634455869.151531,C7XySY1kFQuKaq9Kcd,ssl,RSTR,0,ShADadfRr,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FdNQTG30hU3a2Wrv63,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455869
192.168.56.105,56084,192.168.56.107,443,6,4,1634455883320,1634455912163,1634455883320,1634455912163,28843,1634455883320,1634455912162,28842,TLS,Web,1634455883.320856,CcVTeb2cHCV32gTya2,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FXhsfY24m2ky6LLjcb,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455883
192.168.56.105,56180,192.168.56.107,443,6,4,1634455926785,1634455930392,1634455926785,1634455930392,3607,1634455926785,1634455930391,3606,TLS,Web,1634455926.785428,CDRAz83Nd6TZE5QA4c,ssl,SF,0,ShADadfF,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,F2gae12n9RcARjHOj5,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455926
192.168.56.105,56198,192.168.56.107,443,6,4,1634455930412,1634455936418,1634455930412,1634455936418,6006,1634455930412,1634455936416,6004,TLS,Web,1634455930.412028,CndsLw4epFgvdqov2b,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,Fra97J3y9kZt0IHbUl,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455930
192.168.56.105,56252,192.168.56.107,443,6,4,1634455937335,1634455967995,1634455937335,1634455967995,30660,1634455937335,1634455967992,30657,TLS,Web,1634455937.335445,CCmu1i4dDeKbmN9xt5,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FP53C333HvMSb32Aw5,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455937
192.168.56.105,56276,192.168.56.107,443,6,4,1634455940660,1634455955513,1634455940660,1634455955513,14853,1634455940660,1634455955512,14852,TLS,Web,1634455940.660018,COA95g9XrDb5Q5HXf,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FBwdr74Cu6zjiNKupb,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455940
192.168.56.105,56288,192.168.56.107,443,6,4,1634455947506,1634455954558,1634455947506,1634455954558,7052,1634455947506,1634455954557,7051,TLS,Web,1634455947.506363,CX5yVC3PT5HD6qmMM4,ssl,RSTO,0,ShADadfR,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,api.my,False,True,FXbadKYvCKrVl7vS2,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",3,00,"CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE","CN=localhost,O=Apache Friends,L=Berlin,ST=Berlin,C=DE",1096593030.0,1285809030.0,rsaEncryption,md5WithRSAEncryption,rsa,1024,65537,True,1634455947
