src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,ip_version,bidirectional_first_seen_ms,bidirectional_last_seen_ms,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,application_name,application_category_name,ts,uid,service,conn_state,missed_bytes,history,weird_name,notice,peer,source
192.168.56.105,192.168.56.107,35966,80,6,1634117544,6545625.0,42979.54740761959,8.860880359018427,4.430440179509214,4.430440179509214,29,29,3590,277738,628.0,66.0,123.79310344827586,169.24607249766785,23234.0,66.0,9577.172413793103,7632.28998522392,23234,66,4850.482758620689,7175.084837276597,51481842.422116525,580,580,20,3,114835.52631578948,4992685.0,0.0,668935.5113851476,6545605.0,4993781.0,0.0,233771.60714285716,939956.8092927134,6545596.0,4993318.0,89.0,233771.2857142857,939916.8020042996,0,0,0,0,1,0,0,0,0,0,0,1.0,4850.482758620689,29200,501,1057132.0,24.0,307089.2,414281.3546890085,4992684.0,5475.0,1305616.6,1883202.168137516,0.0,0.0,268096.0,21.0,0.0,16507357.921310265,123.79310344827586,9577.172413793103,0,29,29,3590,277738,4,1634117544258,1634117550804,1634117544258,1634117550804,6546,1634117544258,1634117550804,6546,HTTP,Web,1634117544.258876,CYNBsp2qdvOJzAHPR,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35968,80,6,1634117546,15005438.0,6484.849026066417,4.2651204183443365,2.332487728782059,1.9326326895622772,35,29,8554,88754,643.0,66.0,244.4,263.061774385518,10202.0,66.0,3060.4827586206898,3358.643595475244,10202,66,1520.4375,2667.296506266926,7114470.65234375,700,580,20,11,238181.5555555556,5007669.0,0.0,703024.9698765539,15005357.0,5008814.0,0.0,441334.0294117647,909119.57005279,15005413.0,5008368.0,90.0,535907.6071428572,978678.9144018634,0,0,0,0,1,0,0,0,0,0,0,0.8285714285714286,1520.4375,29200,501,1068115.0,24.0,761403.0769230769,398728.5972502448,5006970.0,11565.0,1146604.6923076925,1162960.3425939395,0.0,0.0,53725.0,9.0,0.0,444566.7284522706,244.4,3060.4827586206898,0,35,29,8554,88754,4,1634117546946,1634117561951,1634117546946,1634117561951,15005,1634117546946,1634117561951,15005,HTTP,Web,1634117546.946265,CP2pts2z0AOFdckXsi,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35970,80,6,1634117557,14044909.0,5488.608007356972,3.987209885090747,2.136005295584329,1.8512045895064184,30,26,8734,68353,775.0,66.0,291.1333333333333,318.0515401978463,12872.0,66.0,2628.9615384615386,4028.242234340024,12872,66,1376.553571428571,2991.224091999574,8947421.568558674,600,520,20,10,255361.9818181818,5005092.0,0.0,747584.3043970965,14044837.0,5006794.0,0.0,484304.724137931,974548.1886043363,14044881.0,5006441.0,191.0,561795.24,1029300.3249246656,0,0,0,0,1,0,0,0,0,0,0,0.8666666666666667,1376.553571428571,29200,501,1567560.0,27.0,562167.375,512728.6028930016,5003743.0,10699.0,874982.25,1173857.7475853653,0.0,0.0,57181.0,8.0,0.0,3409923.072335858,291.1333333333333,2628.9615384615386,0,30,26,8734,68353,4,1634117557738,1634117571783,1634117557738,1634117571783,14045,1634117557738,1634117571783,14045,HTTP,Web,1634117557.73857,CEhV4c2XG2tTkvQ0rf,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35972,80,6,1634117566,43982705.0,3965.80883326753,4.04704531019636,2.500983056862919,1.546062253333441,110,68,39906,134521,818.0,66.0,362.7818181818182,326.42845190772823,12620.0,66.0,1978.25,2896.090226368078,12620,66,979.9269662921348,1971.32213668294,3886110.966576191,2200,1360,20,50,248489.85875706212,5002859.0,0.0,542413.0942036199,43982636.0,5003740.0,0.0,403510.4220183487,644431.6883402392,43982674.0,5003969.0,99.0,656457.8208955224,718463.690680494,0,0,0,0,1,0,0,0,0,0,0,0.6181818181818182,979.9269662921348,29200,501,1085482.0,23.0,743122.6346153846,419366.2888106397,5001749.0,5037.0,839330.5769230769,710463.8116924406,0.0,0.0,53701.0,10.0,0.0,1474492.0373421195,362.7818181818182,1978.25,0,110,68,39906,134521,4,1634117566770,1634117610753,1634117566770,1634117610753,43983,1634117566770,1634117610753,43983,HTTP,Web,1634117566.770853,CuQDQ9jzn8DRCHfbe,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35974,80,6,1634117581,5091510.0,361.9751311496982,1.96405388578241,0.9820269428912052,0.9820269428912052,5,5,903,940,631.0,66.0,180.6,225.22131337864096,668.0,66.0,188.0,240.0199991667361,668,66,184.3,232.76771683375685,54180.81000000001,100,100,20,1,565723.3333333334,5002999.0,0.0,1569039.007282908,5091487.0,5004067.0,0.0,1272871.75,2154494.084217612,5091482.0,5003924.0,822.0,1272870.5,2154402.1845215554,0,0,0,0,1,0,0,0,0,0,0,1.0,184.3,29200,505,84720.0,43.0,42381.5,42338.5,5002074.0,85602.0,2543838.0,2458236.0,0.0,0.0,0.0,0.0,0.0,0.0,180.6,188.0,0,5,5,903,940,4,1634117581005,1634117586097,1634117581005,1634117586097,5092,1634117581005,1634117586097,5092,HTTP,Web,1634117581.005669,CG1o304X8ZiuN3vSm8,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35978,80,6,1634117605,5130752.0,1406.4215148188805,3.508257658916276,1.754128829458138,1.754128829458138,9,9,2335,4881,649.0,66.0,259.44444444444446,271.7204900101537,2746.0,66.0,542.3333333333334,845.5199583688134,2746,66,400.8888888888889,643.7193046739212,414374.5432098766,180,180,20,3,301808.9411764706,5005998.0,17.0,1176158.4004551563,5130681.0,5006954.0,462.0,641335.125,1650180.8300168528,5130729.0,5006843.0,545.0,641341.125,1650313.0661360463,0,0,0,0,1,0,0,0,0,0,0,1.0,400.8888888888889,29200,501,58011.0,33.0,23197.666666666668,25061.666575779745,5005153.0,14057.0,1268881.25,2157159.1829306865,0.0,0.0,0.0,0.0,0.0,0.0,259.44444444444446,542.3333333333334,0,9,9,2335,4881,4,1634117605614,1634117610744,1634117605614,1634117610744,5130,1634117605614,1634117610744,5130,HTTP,Web,1634117605.614227,CcFNAA4ByPckcBvmPh,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35980,80,6,1634117605,5040632.0,977.8535707427164,1.9838782120972132,0.9919391060486068,0.9919391060486068,5,5,910,4019,638.0,66.0,182.0,228.02105165970968,3747.0,66.0,803.8,1471.603261752297,3747,66,492.9,1097.9361046982651,1205463.69,100,100,20,1,560070.2222222222,5004845.0,27.0,1571488.4318613908,5040546.0,5008361.0,667.0,1260136.5,2164073.4449063297,5040605.0,5007409.0,1352.0,1260151.25,2163505.986509325,0,0,0,0,1,0,0,0,0,0,0,1.0,492.9,29200,505,25678.0,27.0,12852.5,12825.5,5002281.0,28215.0,2515248.0,2487033.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,803.8,0,5,5,910,4019,4,1634117605707,1634117610748,1634117605707,1634117610748,5041,1634117605707,1634117610748,5041,HTTP,Web,1634117605.707593,C6euZu2cSIUIjCHwyh,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35982,80,6,1634117605,5324483.0,1228.2882676120855,2.629363264001406,1.314681632000703,1.314681632000703,7,7,1519,5021,634.0,66.0,217.0,237.3791421815681,3154.0,66.0,717.2857142857143,1115.2812219712266,3154,66,467.1428571428572,844.1990165783403,712671.9795918369,140,140,20,2,409575.6153846154,5004267.0,32.0,1328579.840895738,5324414.0,5005179.0,274.0,887402.3333333334,1844442.1164563252,5324446.0,5005678.0,563.0,887407.6666666666,1844775.417499437,0,0,0,0,1,0,0,0,0,0,0,1.0,467.1428571428572,29200,502,288931.0,32.0,101356.66666666669,132777.78880604322,5002856.0,19454.0,1769424.3333333333,2288968.766209263,0.0,0.0,0.0,0.0,0.0,0.0,217.0,717.2857142857143,0,7,7,1519,5021,4,1634117605715,1634117611039,1634117605715,1634117611039,5324,1634117605715,1634117611039,5324,HTTP,Web,1634117605.715434,CoglxR3fMqu3MeV0Wa,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35984,80,6,1634117605,61068768.0,1622.3350043675352,3.094871669918083,1.997747850423313,1.0971238194947703,122,67,48281,50793,818.0,66.0,395.74590163934425,335.739618114586,6752.0,66.0,758.1044776119403,1166.264148343459,6752,66,524.2010582010582,764.8432918990017,584985.2611629014,2440,1340,20,60,324833.8723404256,5006514.0,23.0,567874.4047075665,61068745.0,5008019.0,1397.0,504700.37190082646,640622.6734619654,61068555.0,5007057.0,534.0,925281.1363636364,609344.071891414,0,0,0,0,1,0,0,0,0,0,0,0.5491803278688525,524.2010582010582,29200,501,1095034.0,47.0,913012.8524590164,268413.6253515981,5005971.0,5219.0,979035.5483870968,579097.760782645,0.0,0.0,0.0,0.0,0.0,0.0,395.74590163934425,758.1044776119403,0,122,67,48281,50793,4,1634117605736,1634117666805,1634117605736,1634117666805,61069,1634117605736,1634117666805,61069,HTTP,Web,1634117605.736536,ChrNbN3rcKtSrV6s8f,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35986,80,6,1634117605,5341814.0,1032.98242881538,2.620832548643588,1.310416274321794,1.310416274321794,7,7,1606,3912,643.0,66.0,229.42857142857144,255.93294721349915,2311.0,66.0,558.8571428571429,825.7066979384437,2311,66,394.1428571428572,633.0698288208539,400777.40816326527,140,140,20,2,410908.7692307693,5006287.0,17.0,1329132.752763948,5341797.0,5007179.0,2581.0,890299.5,1844535.9685359667,5341787.0,5008246.0,567.0,890297.8333333334,1845050.033867412,0,0,0,0,1,0,0,0,0,0,0,1.0,394.1428571428572,29200,501,310533.0,52.0,106904.66666666669,144045.73367356477,5004328.0,11109.0,1775632.3333333333,2286323.0249703466,0.0,0.0,0.0,0.0,0.0,0.0,229.42857142857144,558.8571428571429,0,7,7,1606,3912,4,1634117605737,1634117611079,1634117605737,1634117611079,5342,1634117605737,1634117611079,5342,HTTP,Web,1634117605.737953,CxGvR32aDMAdHOWCL3,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35988,80,6,1634117605,5019929.0,1036.0704304782,1.9920600470644103,0.9960300235322052,0.9960300235322052,5,5,908,4293,636.0,66.0,181.6,227.22112577839232,4021.0,66.0,858.6,1581.203035666198,4021,66,520.1,1179.1940001543428,1390498.4900000002,100,100,20,1,557769.8888888889,5005097.0,1.0,1572371.615948656,5019858.0,5005917.0,1.0,1254964.5,2165619.0947076194,5019899.0,5005972.0,891.0,1254974.75,2165643.690407817,0,0,0,0,1,0,0,0,0,0,0,1.0,520.1,29200,505,10908.0,42.0,5475.0,5433.0,5004222.0,11741.0,2507981.5,2496240.5,0.0,0.0,0.0,0.0,0.0,0.0,181.6,858.6,0,5,5,908,4293,4,1634117605814,1634117610834,1634117605814,1634117610834,5020,1634117605814,1634117610834,5020,HTTP,Web,1634117605.814711,CwrcKs1rZY92vHcm9,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35990,80,6,1634117651,5045784.0,9669.458700570614,4.756446173676875,2.378223086838437,2.378223086838437,12,12,1428,47362,694.0,66.0,119.0,173.3830057031734,14546.0,66.0,3946.8333333333335,4417.877956540774,14546,66,2032.9166666666667,3665.641916461866,13436930.659722222,240,240,20,1,219381.91304347827,5006975.0,0.0,1020739.1080680497,5045697.0,5008053.0,0.0,458699.7272727273,1438664.387358958,5045756.0,5008315.0,90.0,458705.0909090909,1438741.5701200606,0,0,0,0,1,0,0,0,0,0,0,1.0,2032.9166666666667,29200,505,32262.0,34.0,16148.0,16114.0,5006975.0,32228.0,2519601.5,2487373.5,0.0,0.0,46562.0,8.0,0.0,14781587.301587302,119.0,3946.8333333333335,0,12,12,1428,47362,4,1634117651289,1634117656334,1634117651289,1634117656334,5045,1634117651289,1634117656334,5045,HTTP,Web,1634117651.28915,CsJdCx33bnpBKwoZRl,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35992,80,6,1634117662,98983880.0,1369.7785942519126,3.131823080687482,2.0609416401943426,1.0708814404931388,204,106,80781,54805,818.0,66.0,395.9852941176471,336.7516318422866,623.0,66.0,517.0283018867924,111.95058356823048,818,66,437.3741935483871,286.7191308217649,82207.85997918835,4080,2120,20,100,320336.18122977344,1093517.0,24.0,464355.9578070879,98983880.0,1093517.0,442.0,487605.3201970444,496649.6373722933,98983403.0,1097139.0,1150.0,942699.0761904762,233059.7811263881,0,0,0,0,1,0,0,0,0,0,0,0.5196078431372549,437.3741935483871,29200,525,1092887.0,24.0,975741.16,141957.75814133725,1092469.0,43671.0,985505.95,102564.86456651468,0.0,0.0,0.0,0.0,0.0,0.0,395.9852941176471,517.0283018867924,0,204,106,80781,54805,4,1634117662838,1634117761822,1634117662838,1634117761822,98984,1634117662838,1634117761822,98984,HTTP,Web,1634117662.838782,CRv18w4KGlh5YT47gh,http,SF,0,ShADadFf,,,,
